"date","temp_station","vel_station","dir_station","pres_station","hr_station","temp_era5","vel_era5","dir_era5","pres_era5","hr_era5","season"
2012-01-01 03:00:00,-0.1,2.57222,230,987.6,93,-0.0765,0.8954243,0,978.3927,79.95135,"DJF"
2012-01-01 06:00:00,-0.4,2.57222,210,988.6,92,-2.0765,2.002229,333.4349,979.8261,92.7615,"DJF"
2012-01-01 09:00:00,-0.2,6.173328,250,990,92,-0.0765,4.565786,348.6901,980.5527,92.86425,"DJF"
2012-01-01 12:00:00,-0.1,5.14444,230,990.8,92,-0.0765,4.565786,348.6901,981.0227,92.86425,"DJF"
2012-01-01 15:00:00,0.4,3.086664,190,991.1,90,-0.0765,2.83158,341.5651,981.2227,92.86425,"DJF"
2012-01-01 18:00:00,1.2,2.57222,180,990.5,86,-0.0765,1.266321,315,981.0827,92.86425,"DJF"
2012-01-01 21:00:00,1.9,3.601108,10,989.8,80,0.9235,1.266321,225,980.4926,86.28464,"DJF"
2012-01-02 00:00:00,2.5,1.028888,10,989.3,80,-1.0765,2.002229,153.4349,980.4538,92.81315,"DJF"
2012-01-02 03:00:00,1.6,3.601108,110,989.3,73,-2.0765,2.532642,135,980.6961,92.7615,"DJF"
2012-01-02 06:00:00,0,1.543332,260,989.3,90,-1.0765,2.532642,135,980.2038,92.81315,"DJF"
2012-01-02 09:00:00,-0.3,1.028888,80,989.5,91,-1.0765,2.83158,161.5651,980.2038,92.81315,"DJF"
2012-01-02 12:00:00,0.5,2.057776,130,989.2,88,-0.0765,2.83158,161.5651,979.5427,86.19023,"DJF"
2012-01-02 15:00:00,0.9,8.745548,90,988.3,86,-0.0765,3.691929,165.9638,979.3027,79.95135,"DJF"
2012-01-02 18:00:00,2.7,3.086664,100,987.8,84,-0.0765,3.691929,165.9638,978.8027,79.95135,"DJF"
2012-01-02 21:00:00,1.1,10.28888,110,987.5,86,-1.0765,4.004459,153.4349,978.9338,86.09487,"DJF"
2012-01-03 00:00:00,-0.2,12.8611,120,987.5,85,-2.0765,4.004459,153.4349,979.1561,85.99855,"DJF"
2012-01-03 03:00:00,-0.4,12.346656,110,987.9,87,-3.0765,3.228498,146.3099,979.7395,85.90125,"DJF"
2012-01-03 06:00:00,-0.2,6.687772,150,989,89,-3.0765,2.532642,135,980.0595,85.90125,"DJF"
2012-01-03 09:00:00,-0.5,4.629996,200,990.6,86,-4.0765,1.266321,135,981.5341,85.80296,"DJF"
2012-01-03 12:00:00,-1.4,4.115552,330,991.8,90,-2.0765,0,0,982.4061,73.7893,"DJF"
