"date","temp_station","vel_station","dir_station","pres_station","hr_station","temp_era5","vel_era5","dir_era5","pres_era5","hr_era5","season"
2012-01-01 03:00:00,1.6,8.231104,230,989.5,93,0.954,8.998902,5.710593,987.0246,93.01436,"DJF"
2012-01-01 06:00:00,1.3,8.231104,240,991,94,0.954,8.108411,6.340192,988.7146,86.47066,"DJF"
2012-01-01 09:00:00,1,6.173328,270,992,96,0.954,5.66316,341.5651,989.7646,93.01436,"DJF"
2012-01-01 12:00:00,1.1,3.086664,260,992,94,0.954,3.798963,315,989.3246,93.01436,"DJF"
2012-01-01 15:00:00,1.8,0,0,991.3,94,0.954,4.004459,296.5651,988.5746,100,"DJF"
2012-01-01 18:00:00,1.4,3.086664,350,989.8,92,0.954,2.83158,288.4349,987.6346,100,"DJF"
2012-01-01 21:00:00,2.1,2.057776,210,988.8,93,-0.046,2.532642,315,987.142,100,"DJF"
2012-01-02 00:00:00,2.1,0,0,989,90,-0.046,2.686273,0,987.172,100,"DJF"
2012-01-02 03:00:00,1.4,0,0,989.5,92,-0.046,4.004459,333.4349,987.202,100,"DJF"
2012-01-02 06:00:00,0.2,2.57222,340,989.3,96,-0.046,2.532642,315,986.732,100,"DJF"
2012-01-02 09:00:00,0.5,8.231104,80,988.5,96,-0.046,3.228498,236.3099,985.952,100,"DJF"
2012-01-02 12:00:00,0.6,9.259992,70,987.5,96,-0.046,4.477121,233.1301,984.902,100,"DJF"
2012-01-02 15:00:00,0.6,9.259992,70,987,95,0.954,3.228498,236.3099,984.3946,100,"DJF"
2012-01-02 18:00:00,0.4,9.259992,70,986.5,96,0.954,1.266321,225,983.8946,100,"DJF"
2012-01-02 21:00:00,0.2,11.832212,80,986.9,93,-0.046,4.477121,180,983.982,100,"DJF"
2012-01-03 00:00:00,-0.6,11.317768,70,987,96,-0.046,7.163394,180,984.182,92.96485,"DJF"
2012-01-03 03:00:00,-0.8,10.28888,70,987.8,93,-1.046,8.954243,180,985.1095,92.91481,"DJF"
2012-01-03 06:00:00,-1.1,11.317768,70,988.5,90,-1.046,8.108411,186.3402,986.0595,86.28464,"DJF"
2012-01-03 09:00:00,-1.2,8.745548,70,990.2,86,-2.046,6.518787,195.9454,988.087,86.19023,"DJF"
2012-01-03 12:00:00,0.4,5.14444,70,991.8,84,-1.046,6.006688,206.5651,989.3895,80.08349,"DJF"
2012-01-03 15:00:00,0.2,0,0,992.8,83,-1.046,4.477121,233.1301,990.0695,86.28464,"DJF"
2012-01-03 18:00:00,1.3,3.086664,300,993.5,80,-0.046,4.565786,258.6901,990.502,86.37811,"DJF"
2012-01-03 21:00:00,0.8,2.57222,300,994,82,-0.046,2.83158,288.4349,991.222,92.96485,"DJF"
2012-01-04 00:00:00,0.8,2.57222,290,994.1,84,0.954,2.83158,341.5651,991.2046,86.47066,"DJF"
2012-01-04 03:00:00,0.6,1.543332,210,994,88,-0.046,3.581697,0,991.082,100,"DJF"
2012-01-04 06:00:00,1.1,0,0,992.5,91,0.954,4.477121,0,990.4346,93.01436,"DJF"
2012-01-04 09:00:00,1.5,0,0,991.5,89,0.954,4.477121,0,988.9346,93.01436,"DJF"
2012-01-04 12:00:00,1.6,0,0,990.1,91,0.954,3.691929,14.03624,987.3546,93.01436,"DJF"
2012-01-04 15:00:00,4,1.543332,170,988,80,0.954,3.228498,33.69007,985.8346,93.01436,"DJF"
2012-01-04 18:00:00,4.2,1.543332,330,987,76,0.954,2.532642,45,984.4746,93.01436,"DJF"
2012-01-04 21:00:00,3.4,0,0,986.8,82,0.954,3.228498,56.30993,984.3746,86.47066,"DJF"
2012-01-05 00:00:00,1.8,0,0,986.9,85,-0.046,3.798963,45,984.632,92.96485,"DJF"
2012-01-05 03:00:00,1.3,2.057776,320,987.5,87,-0.046,4.477121,36.8699,985.112,92.96485,"DJF"
2012-01-05 06:00:00,1.2,0,0,988,90,-0.046,4.477121,36.8699,985.972,92.96485,"DJF"
2012-01-05 09:00:00,1.1,0,0,989.5,92,-0.046,3.798963,45,987.492,86.37811,"DJF"
2012-01-05 12:00:00,2,0,0,991,90,0.954,4.477121,36.8699,988.9446,86.47066,"DJF"
2012-01-05 15:00:00,2.5,2.057776,310,992,86,0.954,5.221176,30.96376,990.1846,86.47066,"DJF"
2012-01-05 18:00:00,3.2,7.202216,230,993,72,0.954,6.006688,26.56505,991.2546,80.34405,"DJF"
2012-01-05 21:00:00,2,6.173328,240,994,73,0.954,8.447415,32.00538,992.4746,86.47066,"DJF"
2012-01-06 00:00:00,1.8,4.629996,210,996,70,-0.046,8.954243,36.8699,993.782,86.37811,"DJF"
2012-01-06 03:00:00,0.3,2.57222,190,997.5,71,-0.046,8.954243,36.8699,994.932,86.37811,"DJF"
2012-01-06 06:00:00,1,3.601108,180,998,70,-0.046,10.20941,37.87498,995.692,86.37811,"DJF"
2012-01-06 09:00:00,0.8,3.601108,210,998.4,70,-0.046,10.81945,24.44395,996.312,80.21438,"DJF"
2012-01-06 12:00:00,1,6.173328,240,998.1,85,-0.046,8.058818,0,995.332,86.37811,"DJF"
2012-01-06 15:00:00,1.4,8.745548,270,995,85,0.954,8.255404,310.6013,992.0846,86.47066,"DJF"
2012-01-06 18:00:00,1.2,8.745548,280,990,95,0.954,10.44235,300.9638,986.8946,93.01436,"DJF"
2012-01-06 21:00:00,1.8,6.687772,270,985,95,0.954,9.685494,326.3099,982.2246,100,"DJF"
2012-01-07 00:00:00,1.6,4.629996,210,983,90,0.954,10.89331,9.462322,981.2146,93.01436,"DJF"
2012-01-07 03:00:00,1.3,6.687772,210,984.6,90,0.954,12.82052,12.09476,982.3046,80.34405,"DJF"
2012-01-07 06:00:00,1.2,12.346656,230,984.3,79,-0.046,12.82052,12.09476,982.512,86.37811,"DJF"
2012-01-07 09:00:00,1,9.259992,230,985,84,-0.046,11.94645,12.99462,982.752,86.37811,"DJF"
2012-01-07 12:00:00,1.6,9.259992,240,985,84,-0.046,10.01115,10.30485,982.302,86.37811,"DJF"
2012-01-07 15:00:00,2.3,7.202216,240,984.2,81,-0.046,9.890284,5.194429,981.632,86.37811,"DJF"
2012-01-07 18:00:00,3,7.202216,230,984,76,-0.046,10.89331,9.462322,981.402,86.37811,"DJF"
2012-01-07 21:00:00,2.2,9.774436,230,983.9,74,-0.046,11.64052,22.61986,981.952,80.21438,"DJF"
2012-01-08 00:00:00,1.4,9.259992,230,984.5,75,-0.046,11.64052,22.61986,982.582,80.21438,"DJF"
2012-01-08 03:00:00,0.8,11.317768,220,986.1,78,-0.046,11.32632,18.43495,984.032,80.21438,"DJF"
2012-01-08 06:00:00,0.5,11.317768,230,987.1,80,-0.046,11.64052,22.61986,985.242,86.37811,"DJF"
2012-01-08 09:00:00,0.9,7.202216,230,990,80,-0.046,10.81945,24.44395,987.312,86.37811,"DJF"
2012-01-08 12:00:00,1.7,9.774436,230,990.3,75,-0.046,10.48067,19.98311,988.842,86.37811,"DJF"
2012-01-08 15:00:00,3.4,7.202216,230,992.3,68,0.954,9.131571,11.30993,989.6846,80.34405,"DJF"
2012-01-08 18:00:00,2.8,8.231104,240,992.5,76,0.954,8.998902,5.710593,990.4946,80.34405,"DJF"
2012-01-08 21:00:00,2.6,4.629996,250,992.5,77,0.954,6.518787,15.9454,990.8746,80.34405,"DJF"
2012-01-09 00:00:00,1.6,3.086664,290,993,78,-0.046,5.372546,0,990.882,86.37811,"DJF"
2012-01-09 03:00:00,0.6,3.086664,280,993,86,-0.046,4.004459,333.4349,990.412,86.37811,"DJF"
2012-01-09 06:00:00,0.2,0,0,991.5,88,-2.046,2.83158,288.4349,989.577,92.86425,"DJF"
2012-01-09 09:00:00,0.7,2.57222,350,991,87,-1.046,4.477121,233.1301,988.5495,92.91481,"DJF"
2012-01-09 12:00:00,0.8,6.173328,70,990,91,-0.046,6.456996,213.6901,987.392,86.37811,"DJF"
2012-01-09 15:00:00,1.2,6.687772,60,988.8,92,-0.046,8.49474,198.4349,985.532,92.96485,"DJF"
2012-01-09 18:00:00,1.4,8.231104,70,987.5,92,0.954,8.447415,212.0054,983.9146,93.01436,"DJF"
2012-01-09 21:00:00,2.8,9.774436,50,986,88,0.954,8.255404,229.3987,983.1846,100,"DJF"
2012-01-10 00:00:00,3.5,6.173328,50,984.1,87,1.954,8.49474,251.5651,981.9173,100,"DJF"
