"TagID","Date","Time","X","Y","Z","Activity","Depth","Temp....C.","height.msl","ground.speed","satellites","hdop","signal.strength","Battery..V.","Metadata","date","location.lon","location.lat","geometry"
"CP-01_S1","15/12/2022","11:35:06.000",-0.141,-0.5,0.907,"Active/Dry",0.04,0.6,24,3.7,4,2.2,232,NA,"",2022-12-15 11:35:06,-59.20916,-62.315,c(-59.20916, -62.315)
"CP-01_S1","15/12/2022","11:43:23.000",-0.047,0.063,0.61,"Active/Dry",0.03,0.5,20,3.7,6,1.3,242,NA,"",2022-12-15 11:43:23,-59.20997,-62.32026,c(-59.20997, -62.32026)
"CP-01_S1","15/12/2022","11:48:15.000",-0.109,-1,0.922,"Active/Dry",0,0.6,-222,0,5,1.4,282,NA,"",2022-12-15 11:48:15,-59.20556,-62.32378,c(-59.20556, -62.32378)
"CP-01_S1","15/12/2022","11:53:50.000",-0.109,-0.75,0.469,"Active/Dry",0,0.7,-266,0,4,2.2,251,NA,"",2022-12-15 11:53:50,-59.20184,-62.32716,c(-59.20184, -62.32716)
"CP-01_S1","15/12/2022","11:56:52.000",0.016,-0.047,0.985,"Active/Dry",0.03,0.6,-272,0,4,2.2,190,NA,"",2022-12-15 11:56:52,-59.20057,-62.32825,c(-59.20057, -62.32825)
"CP-01_S1","15/12/2022","12:05:25.000",-0.172,-0.281,0.922,"Active/Dry",0.03,0.7,-814,0,3,4.3,182,NA,"",2022-12-15 12:05:25,-59.19297,-62.33228,c(-59.19297, -62.33228)
"CP-01_S1","15/12/2022","12:20:24.000",0.672,1.985,0.406,"Active/Dry",0.04,0.9,-404,0,3,2.3,283,NA,"",2022-12-15 12:20:24,-59.1786,-62.346,c(-59.1786, -62.346)
"CP-01_S1","15/12/2022","13:34:10.000",-0.219,-0.109,0.938,"Active/Dry",0.02,1.4,0,0,4,1.1,309,NA,"",2022-12-15 13:34:10,-59.10184,-62.40258,c(-59.10184, -62.40258)
"CP-01_S1","15/12/2022","13:36:38.000",-0.063,-0.094,0.875,"Active/Dry",0.04,1,10,0,4,1.1,288,NA,"",2022-12-15 13:36:38,-59.10048,-62.40338,c(-59.10048, -62.40338)
"CP-01_S1","15/12/2022","13:40:50.000",0.047,1.282,-0.016,"Active/Dry",0.04,0.7,-6,0,4,1.1,281,NA,"",2022-12-15 13:40:50,-59.09704,-62.40548,c(-59.09704, -62.40548)
"CP-01_S1","15/12/2022","13:49:42.000",-0.156,-0.109,0.969,"Active/Dry",0.04,1.1,-8,0,3,1.3,281,NA,"",2022-12-15 13:49:42,-59.08515,-62.41171,c(-59.08515, -62.41171)
